ISEA7_ID,STRING_ID,LATITUDE,LONGITUDE,NDVI_jan,NDVI_feb,NDVI_mar,NDVI_apr,NDVI_may,NDVI_jun,NDVI_jul,NDVI_aug,NDVI_sept,NDVI_oct,NDVI_nov,NDVI_dec,NDVI_NS,NDVI_NW,PrecJan,PrecFeb,PrecMay,PrecJun,PrecJul,PrecAug,PrecNov,PrecDec,Prec_NW,Prec_NS,Tmean_NW,Tmean_NS
1651,1651,57.7283,116.5818,0.009290705,0.01836024,0.018006306,0.010775202,0.200144174,0.607611031,0.700684432,0.626706701,0.31327239,0.102427795,0.033132654,0.005551102,2.459193931,0.186768802,10.10378742,7.721101761,44.38367081,76.87260437,88.24692535,85.52976227,14.6517458,12.8184948,11.32378244,73.7582407,-308.5055237,94.1636734
1679,1679,57.406,113.9277,0.021491563,0.038866463,0.037723285,0.022935883,0.265319622,0.648028294,0.709543637,0.636604538,0.350601,0.180432907,0.063482886,0.018003535,2.633032975,0.36000064,14.98661995,10.42021847,42.57086182,69.77700806,94.80376434,91.91229248,21.82309151,19.31863213,16.63714051,74.76598167,-283.4020081,99.72683716
1725,1725,57.0271,44.1284,0.141192672,0.240889128,0.233773825,0.456675318,0.699541911,0.780984995,0.773229987,0.724681708,0.612906539,0.437643669,0.31774115,0.128016171,4.048020458,1.499256614,36.07167816,26.54686737,45.7849617,64.44761658,78.84661865,64.58295441,54.45914841,41.72431183,39.70050144,63.41553783,-84.45262909,161.3018799
1766,1766,56.6246,118.6137,0.00707243,0.010759395,0.010691772,0.020646283,0.23072549,0.546858487,0.621905738,0.543091359,0.273522259,0.039156653,0.008511326,0.003199417,2.236749616,0.079390993,5.772542953,6.225430489,48.86676788,91.44528961,97.69655609,96.09675598,9.50607872,7.609422684,7.278368711,83.52634239,-315.7848206,76.12133026
1770,1770,56.657,108.7314,0.104448784,0.155129623,0.180180113,0.164001872,0.346328095,0.667277453,0.760898972,0.699735566,0.444747702,0.307636215,0.159300154,0.08839092,3.082989659,0.995085809,17.938797,13.71219063,37.17349625,49.29792786,78.42033386,74.9635849,26.18614006,23.50328827,20.33510399,59.96383572,-228.5281982,103.1699524
1777,1777,56.5382,48.3718,0.09810971,0.149343289,0.139418291,0.387695416,0.669574369,0.7731057,0.724448144,0.681437851,0.582215735,0.485900898,0.312632863,0.08764655,3.818477214,1.2730516,34.35616302,26.25012779,42.3373909,68.84170532,77.30542755,63.5393219,46.48706055,38.75241089,36.46144056,63.00596142,-97.51636505,162.7406158
1794,1794,56.3412,116.027,0.02216861,0.031026385,0.029075313,0.064065677,0.336151078,0.639093479,0.688358702,0.622954047,0.337765681,0.130273846,0.056807044,0.019886659,2.688388664,0.289237857,6.894602776,5.671079636,42.84674072,78.46130371,103.734726,96.17769623,11.15274906,9.478614807,8.29926157,80.30511665,-305.0222778,94.50458527
1808,1808,56.0276,45.9362,0.079547585,0.119955073,0.117318496,0.393352652,0.6853271,0.774955368,0.721402703,0.671451599,0.586367837,0.47869511,0.288700339,0.09522352,3.832857259,1.179440122,31.65552711,23.64164543,42.69923019,65.18766022,76.73830414,62.10334015,46.89254379,37.03187561,34.80539799,61.68213367,-88.69177246,165.8625946
1819,1819,56.0168,113.4713,0.014411552,0.017548474,0.020091591,0.03485729,0.236803937,0.542511683,0.61752512,0.560008753,0.265031892,0.115855176,0.042168208,0.011633449,2.256738674,0.221708451,6.975835323,5.889974117,37.84524536,72.29563141,112.5892029,99.4462738,11.92750645,10.24832916,8.760411263,80.54408836,-276.8164673,81.48894501
1869,1869,55.6865,123.0677,0.023444085,0.023175125,0.021134261,0.113799169,0.603465238,0.761241043,0.785380195,0.711114299,0.481088951,0.229533434,0.041991169,0.018343267,3.456088894,0.357621341,7.384655476,6.765681744,41.39398575,85.59098053,107.1280441,100.1850662,14.37895298,10.47641277,9.751425743,83.57451916,-269.590332,116.0619507
1877,1877,55.6578,110.9498,0.027469402,0.042370263,0.040310931,0.048246393,0.272537656,0.569761436,0.656613677,0.612864368,0.336698628,0.207818949,0.080594664,0.028138945,2.496722158,0.426703154,11.07831955,9.068983078,34.46369171,56.98340225,94.66805267,86.6576767,18.4693985,15.35217857,13.49221992,68.19320583,-235.925827,85.90184021
1883,1883,55.4799,50.0541,0.014743067,0.015779689,0.017350114,0.276090339,0.570847964,0.697540132,0.619427058,0.545111917,0.487540338,0.409777211,0.208571157,0.026913103,3.196557748,0.693134342,36.50286865,27.55659866,38.41418839,65.35211182,71.04955292,57.5367775,44.55973053,38.41314697,36.7580862,58.08815765,-97.76108551,170.3167725
1888,1888,55.4879,120.5267,0.033395974,0.036088961,0.029586473,0.115346152,0.574880587,0.75715955,0.781761272,0.719730442,0.473110878,0.231046114,0.060531789,0.025941861,3.421988881,0.416591172,5.067082882,5.644825935,39.10556412,79.64378357,95.27301025,94.59126282,10.53042126,7.741549492,7.245969892,77.15340519,-272.6354675,111.6861649
1891,1891,55.4603,43.5755,0.083353084,0.11878783,0.145235082,0.411847855,0.717178551,0.79885808,0.745949505,0.6879004,0.59902646,0.467108257,0.282266384,0.094030209,3.960760851,1.190780845,38.89149857,29.9947834,45.07146454,62.99113083,75.07616425,59.33907318,49.46165848,43.70318222,40.51278067,60.6194582,-81.16770935,166.9608765
1906,1906,55.2428,118.007,0.028577925,0.028334148,0.026896448,0.114744205,0.514233073,0.732163466,0.770644598,0.68464585,0.416549814,0.167568149,0.059065375,0.022600443,3.232981005,0.333042488,4.213045597,4.401893616,41.3876915,81.50183868,102.9347687,98.04208374,8.092057228,6.18937397,5.724092603,80.96659565,-296.1204529,101.0632553
1911,1911,55.2726,94.0348,0.169439167,0.207081178,0.211542214,0.287415513,0.588096204,0.808541461,0.828199315,0.755221086,0.572754297,0.440520427,0.246888289,0.137563165,3.840227876,1.41303444,17.20042038,14.68677902,56.63378906,67.39086914,98.16474152,84.7670517,32.108078,23.77387238,21.94228745,76.73911285,-171.2198334,132.3319855
1912,1912,55.2726,108.4652,0.08783311,0.131608207,0.13095272,0.134413197,0.353151316,0.620039208,0.67021808,0.636501012,0.437943221,0.34767223,0.179989772,0.082344136,2.852266033,0.960400176,15.17576122,10.63168907,29.51364136,44.12801743,77.74921417,71.90713501,25.60545731,23.31637001,18.6823194,55.82450199,-207.692688,108.1908417
1927,1927,55.0481,37.258,0.07921965,0.092194819,0.180184678,0.457936983,0.734219236,0.781909926,0.749604627,0.705004785,0.613468103,0.48058024,0.284094146,0.093398586,4.04214366,1.209672119,40.0657196,31.47896957,49.24132538,77.3748703,87.10515594,72.92113495,53.17192459,48.41535187,43.28299141,71.66062164,-64.9342804,161.4225769
1931,1931,55.0052,47.6542,0.040585475,0.055965185,0.076081992,0.363074784,0.645184032,0.769805766,0.686339814,0.615059399,0.546287966,0.440799155,0.28752092,0.057170978,3.62575176,0.958123706,31.92612076,23.78258514,38.3662262,67.32823181,69.44960785,57.72875977,43.66279602,34.97836304,33.58746624,58.21820641,-92.95632935,171.1352234
1940,1940,54.9548,115.5129,0.064438325,0.072282162,0.073804152,0.165332039,0.503958627,0.7354396,0.767258029,0.694632572,0.409127496,0.230575937,0.138482535,0.05487565,3.275748362,0.63445876,3.773664713,3.790586948,35.2316246,73.64463043,111.9222641,97.58646393,7.977789402,6.320465565,5.465626657,79.59624577,-284.9713135,106.3581467
1947,1947,54.8363,41.2985,0.108375743,0.14000384,0.19611958,0.46479088,0.739990474,0.786893351,0.751124178,0.701745247,0.611058607,0.476811103,0.297302392,0.121794148,4.055602737,1.340406806,40.21474075,31.41357422,44.46818542,60.59968185,86.32449341,57.45705032,52.36797333,47.1113472,42.77690887,62.21235275,-74.93093872,169.122345
1951,1951,54.8727,96.481,0.263579587,0.329078994,0.333338368,0.338201673,0.600171478,0.772949196,0.811803148,0.769075637,0.609475925,0.485845977,0.34630169,0.211951627,3.901677056,1.970096243,10.63722897,8.774193764,50.58275986,66.3939743,117.2913818,90.21893311,18.50713921,13.79005814,12.92715502,81.12176228,-202.2280579,117.4007111
1979,1979,54.6287,113.0484,0.053652689,0.052204518,0.068347629,0.10308301,0.396237258,0.659723484,0.71849394,0.626698852,0.317097862,0.187641039,0.101673833,0.04596983,2.821334406,0.509489538,2.963200092,3.033600092,28.30986595,67.70666504,113.2549362,95.0223999,7.514666557,5.612266541,4.780933321,76.07346678,-250.4792023,90.77200317
1987,1987,54.482,124.7997,0.080483862,0.081322834,0.067362466,0.208509128,0.644298691,0.796682534,0.815149269,0.750520035,0.493482747,0.311984076,0.115001817,0.065452281,3.708642404,0.721607334,5.319978714,4.904380322,43.93963623,89.5293808,126.9813004,107.5459366,13.39743614,8.757478714,8.094818473,91.99906349,-257.6685486,126.5582275
1990,1990,54.4738,45.3207,0.027838534,0.038660098,0.064550612,0.369710377,0.699448686,0.787982766,0.699127537,0.633956867,0.566586824,0.427338621,0.266966278,0.055768723,3.756813056,0.881122865,35.9357605,25.74678802,42.03533173,61.87473297,70.68629456,57.16595459,46.01552582,42.77997971,37.61951351,57.94057846,-87.44981384,170.1042633
2006,2006,54.474,98.8876,0.216421908,0.226804434,0.206667378,0.292768123,0.572910898,0.772966805,0.805154692,0.75120285,0.561600213,0.442146012,0.325124396,0.18213785,3.756603581,1.599301979,9.28502655,7.733689785,39.34492111,56.81176376,113.1053467,90.246521,13.54331589,10.86577511,10.35695183,74.87713814,-195.9426422,115.6982651
2011,2011,54.3207,122.3298,0.08856463,0.083637326,0.062956033,0.186590347,0.632428893,0.799892776,0.819847644,0.751649976,0.478885608,0.293801704,0.143606698,0.068879241,3.669295244,0.741445633,4.130761147,5.178992271,38.15702057,74.86709595,107.1993561,104.9925003,11.94694519,7.672025681,7.232181072,81.30399323,-260.6848755,123.7036438
2018,2018,54.255,31.2829,0.074275463,0.069106958,0.152110228,0.474914964,0.72476618,0.791143204,0.748905933,0.690822598,0.622584564,0.539584046,0.344040826,0.118050036,4.053137443,1.297167555,36.6616478,27.5890255,49.8805809,76.62506866,85.64335632,65.44863129,49.8805809,46.40613174,40.13434649,69.39940929,-48.95024109,158.416214
